feature,importance
Unnamed: 0,199.08209609985352
ip,0.0
app,876340.8108634949
device,956.9587898254395
os,46740.07845687866
channel,385091.2157726288
click_time,0.0
hour,107.38859939575195
day,0.0
minute,0.0
second,0.0
in_test_hh,0.0
app_count,55212.41693878174
ip_count,96031.41669845581
channel_count,15388.014404296875
os_count,24595.103679656982
ip_device_count,53950.49394607544
day_hour_app_count,26338.112594604492
app_channel_count,218648.48607635498
ip_day_in_test_hh_count,2992.9844074249268
ip_day_hour_count,962.4317016601562
os_device_count,11763.586917877197
ip_os_day_hour_count,33980.08995819092
ip_device_day_hour_count,2322.665906906128
ip_app_os_count,4331.067518234253
ip_app_channel_var,1354.4757804870605
ip_app_os_var,1517.3106994628906
ip_app_device_var,9856.27328491211
app_countAccum,653.1017036437988
ip_countAccum,3652.7747764587402
day_countAccum,26.68950080871582
hour_countAccum,46.578800201416016
app_uniq_ip_countUniq,389332.0505218506
app_device_os_channel_uniq_ip_countUniq,14830.570919036865
ip_uniq_channel_countUniq,10808.383033752441
ip_uniq_app_countUniq,79970.20881652832
ip_uniq_os_countUniq,375195.95043182373
ip_os_nextClick,61733.99469947815
ip_device_os_nextClick,1044.1979942321777
ip_app_device_os_nextClick,322952.727022171
ip_app_device_os_channel_nextClick,40787.82956314087
